BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Queens,PM,10,15,42.350816174283935,0.15298367651432132
Brooklyn,PM,05,30,30.13952497211551,0.3972095005576898
Bronx,PM,08,00,33.5557254808632,0.32888549038273596
Queens,AM,09,15,38.45150886943825,0.230969822611235
Queens,PM,11,00,43.19186818926673,0.1361626362146654
Queens,PM,04,15,31.385443384587635,0.3722911323082473
Staten Island,AM,02,15,41.36884095449197,0.1726231809101606
Staten Island,AM,03,00,41.42952437533483,0.17140951249330338
Queens,PM,05,00,31.302707871245623,0.37394584257508756
Staten Island,AM,11,45,37.46286580977556,0.25074268380448883
Staten Island,AM,12,30,41.30673931428879,0.17386521371422414
Queens,PM,07,45,38.11520677778621,0.2376958644442757
Staten Island,AM,05,45,42.271413902647275,0.15457172194705449
Staten Island,PM,01,30,37.16122115468542,0.2567755769062916
Queens,PM,08,30,39.91033240969473,0.20179335180610536
Staten Island,AM,06,30,39.27579630021935,0.2144840739956131
Staten island,AM,02,45,40.76247975226297,0.1847504049547406
Staten island,AM,03,30,40.456238969711436,0.19087522060577133
Staten Island,PM,08,15,38.61417664121629,0.22771646717567418
Staten island,PM,11,15,38.65671474757526,0.2268657050484948
Staten Island,PM,09,00,39.31441915447811,0.21371161691043783
Manhattan,AM,01,45,22.86246011780823,0.5427507976438355
Staten island,PM,05,15,31.462822675099563,0.3707435464980088
Staten island,PM,12,00,36.80994632837277,0.26380107343254466
Staten island,PM,06,00,32.87651363318572,0.34246972733628556
Manhattan,AM,02,30,23.293966790960546,0.5341206641807891
Brooklyn,AM,01,15,40.07872353950797,0.19842552920984058
Manhattan,PM,10,15,24.273053139802304,0.5145389372039539
Brooklyn,AM,02,00,40.40792733330792,0.19184145333384162
Manhattan,PM,04,15,18.155545482064483,0.6368890903587103
Manhattan,PM,11,00,23.710929339834387,0.5257814132033123
Manhattan,AM,09,15,22.621471836272004,0.54757056327456
Manhattan,PM,05,00,17.746475552227647,0.645070488955447
Brooklyn,AM,10,45,33.07709033300199,0.3384581933399602
Staten island,PM,08,45,39.62947885714285,0.20741042285714295
Brooklyn,AM,04,45,43.07058040609519,0.13858839187809624
Staten island,PM,09,30,39.785618519411614,0.20428762961176772
Brooklyn,AM,11,30,33.06337522664615,0.33873249546707696
Bronx,PM,02,15,27.96985668449198,0.44060286631016043
Queens,AM,10,15,38.88605837982641,0.2222788324034718
Bronx,AM,07,15,34.764932962706396,0.3047013407458721
Brooklyn,AM,05,30,41.091167946087026,0.17817664107825948
Bronx,AM,08,00,32.65825644310932,0.3468348711378135
Queens,AM,11,00,38.155275076668985,0.23689449846662025
Manhattan,PM,07,45,23.0710590770445,0.53857881845911
Queens,AM,04,15,47.45555600881137,0.05088887982377255
Bronx,PM,03,00,26.79897129289135,0.464020574142173
Brooklyn,PM,07,15,34.158212325875894,0.31683575348248216
Queens,AM,05,00,48.76150006407465,0.024769998718506936
Manhattan,PM,08,30,23.98751575538861,0.5202496848922278
Brooklyn,PM,08,00,36.144267705085724,0.2771146458982855
Bronx,PM,11,45,37.855753395294634,0.24288493209410733
Bronx,PM,05,45,26.540067925171506,0.46919864149656987
Bronx,PM,12,30,29.854494290862814,0.4029101141827437
Queens,AM,07,45,38.00716000203246,0.23985679995935083
Bronx,PM,06,30,28.511020825522348,0.42977958348955303
Queens,PM,02,45,33.9985279682498,0.32002944063500394
Staten Island,AM,01,30,41.259946572172204,0.17480106855655597
Queens,AM,08,30,37.14285694773958,0.25714286104520834
Queens,PM,03,30,32.31023154696159,0.35379536906076825
Staten Island,PM,03,15,34.423693483820024,0.31152613032359955
Staten island,AM,11,15,37.04793869911091,0.2590412260177818
Staten Island,AM,08,15,37.981285688121915,0.24037428623756174
Staten Island,PM,10,00,40.10992789427171,0.19780144211456574
Staten Island,PM,04,00,34.050546339511975,0.31898907320976055
Staten island,AM,12,00,39.50708520179374,0.2098582959641252
Staten Island,AM,09,00,38.02167213559323,0.23956655728813547
Staten island,AM,05,15,40.92411820781695,0.18151763584366098
Staten island,PM,01,00,36.633826005612725,0.2673234798877455
Staten island,AM,06,00,41.47886674669868,0.17042266506602644
Manhattan,AM,10,15,22.746861819398205,0.5450627636120359
Staten Island,PM,12,45,37.39081835010605,0.25218363299787894
Manhattan,AM,04,15,26.261910441321515,0.47476179117356976
Staten Island,PM,06,45,34.99405100368151,0.3001189799263697
Manhattan,AM,11,00,23.234631675804753,0.535307366483905
Staten island,PM,10,30,39.3278625235405,0.21344274952918996
Staten island,PM,03,45,31.191788141551445,0.37616423716897107
Staten island,AM,08,45,38.23495065789475,0.235300986842105
Manhattan,AM,05,00,28.73850521687979,0.4252298956624042
Staten Island,PM,07,30,37.334341082676794,0.25331317834646416
Staten island,PM,04,30,30.638268468888356,0.38723463062223284
Staten island,AM,09,30,37.82767414679759,0.24344651706404818
Bronx,AM,02,15,40.02896066604219,0.1994207866791562
Manhattan,AM,07,45,24.49507693842623,0.5100984612314754
Manhattan,PM,02,45,21.315997974660412,0.5736800405067918
Bronx,AM,03,00,40.71620757254753,0.1856758485490494
Manhattan,AM,08,30,22.73130166488468,0.5453739667023064
Manhattan,PM,03,30,19.431184715488843,0.611376305690223
Brooklyn,PM,02,15,32.46058401486989,0.35078831970260227
Brooklyn,AM,07,15,34.93040934558067,0.3013918130883866
Brooklyn,PM,03,00,31.803069700432225,0.3639386059913555
Bronx,AM,11,45,30.379623699784414,0.3924075260043117
Brooklyn,AM,08,00,33.38106167516828,0.33237876649663434
Bronx,AM,05,45,41.71646379908231,0.1656707240183537
Bronx,AM,12,30,38.483446521127256,0.23033106957745486
Queens,AM,02,45,44.36494683144136,0.1127010633711728
Bronx,AM,06,30,36.77966541415945,0.26440669171681097
Brooklyn,PM,11,45,38.834706870380955,0.22330586259238094
Bronx,PM,01,30,28.942803140024154,0.4211439371995169
Queens,AM,03,30,45.80495915166675,0.08390081696666496
Brooklyn,PM,12,30,33.53571209838735,0.329285758032253
Brooklyn,PM,05,45,30.267896011765707,0.3946420797646859
Brooklyn,PM,06,30,31.842381634872,0.36315236730255995
